season_end_year,fbref_player_id,fbref_squad,player,minutes,file,column,value,kaggle_column
2023,e8deefd6,Cádiz,Blanco,158,big5_player_possession,Def Pen_Touches,4.0,touches_def_pen
2023,e8deefd6,Cádiz,Blanco,158,big5_player_possession,Dis_Carries,3.0,Possessions lost
2023,e8deefd6,Cádiz,Blanco,158,big5_player_possession,Final_Third_Carries,1.0,carries final 3rd
2023,e8deefd6,Cádiz,Blanco,158,big5_player_possession,PrgC_Carries,1.0,carries_prgc
2023,e8deefd6,Cádiz,Blanco,158,big5_player_possession,Succ_percent_Take,0.0,% Successful take-ons
2023,e8deefd6,Cádiz,Blanco,158,big5_player_shooting,G_per_Sh_Standard,0.0,Goals per shot
2023,e8deefd6,Cádiz,Blanco,158,big5_player_shooting,G_per_SoT_Standard,0.0,Goals per shot on target
2023,e8deefd6,Cádiz,Blanco,158,big5_player_shooting,SoT_percent_Standard,0.0,% Shots on target
2023,e8deefd6,Cádiz,Blanco,158,big5_player_shooting,npxG_Expected,0.0,Exp NPG
2023,e8deefd6,Cádiz,Blanco,158,big5_player_shooting,xG_Expected,0.0,Expected Goals
2023,e8deefd6,Cádiz,Blanco,158,big5_player_standard,PrgC_Progression,1.0,Progressive Carries
2023,e8deefd6,Cádiz,Blanco,158,big5_player_standard,PrgP_Progression,2.0,Progressive Passes
2023,e8deefd6,Cádiz,Blanco,158,big5_player_standard,npxG_Expected,0.0,Exp NPG
2023,e8deefd6,Cádiz,Blanco,158,big5_player_standard,xG_Expected,0.0,Expected Goals
2023,ebeb2c4a,Girona,Casals,84,big5_player_defense,Clr,1.0,Clearances
2023,ebeb2c4a,Girona,Casals,84,big5_player_defense,Err,0.0,Errors made
2023,ebeb2c4a,Girona,Casals,84,big5_player_defense,Pass_Blocks,0.0,Passes blocked
2023,ebeb2c4a,Girona,Casals,84,big5_player_defense,Sh_Blocks,1.0,Shots blocked
2023,ebeb2c4a,Girona,Casals,84,big5_player_defense,Tkl_Tackles,2.0,Tackles attempted
2023,ebeb2c4a,Girona,Casals,84,big5_player_misc,Won_percent_Aerial,0.0,% Aerial Duels won
2023,ebeb2c4a,Girona,Casals,84,big5_player_possession,Att_Take,14.0,Take ons attempted
